id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_elevation_ft,le_heading_degT,he_ident,he_elevation_ft,he_heading_degT
244102,18691,K3FU,3000,60,ASP,13,1567,136,31,1570,316
243560,18692,K3G1,3030,60,ASPH-G,10,,91,28,,271
240001,18693,K3G2,3437,92,GRE,17,,163.7,35,,343.7
241519,18694,K3G3,3529,75,ASP,2,965,10.5,20,973,190.5
241520,18694,K3G3,2155,40,ASP,10,963,90.2,28,971,270.2
243699,18695,K3G4,3502,75,ASP,1,1205,1,19,1186,181
241257,18696,K3G5,4500,50,ASP,5,,50,23,,230
240490,18697,K3G6,2768,45,ASP,17,1185,171.7,35,1178,351.7
242626,18699,K3GM,3750,75,ASP,9,602,90,27,591,270
242627,18699,K3GM,2060,60,ASP,18,603,180,36,598,360
242316,18700,K3GV,2200,20,ASP,5,818,57,23,834,237
242317,18700,K3GV,4501,44,ASP,9,817,91,27,818,271
240790,18701,K3H4,3300,60,ASP,16,904,170.7,34,904,350.7
245177,18702,K3HO,3125,40,ASP,18,630,180,36,610,360
239642,18703,K3I2,4000,75,ASP,7,638,64.9,25,625,244.9
244222,18704,K3I3,3557,50,ASP,8,493,84,26,496,264
244223,18704,K3I3,1978,50,ASP,18,493,179,36,493,359
242507,18705,K3I4,3360,60,ASP,10,,100,28,,280
240513,18706,K3I7,3000,40,ASP,3,1027,23.5,21,1022,203.5
241602,18707,K3J0,3580,60,ASP,11,,112.1,29,,292.1
243715,18708,K3J1,4200,7075,ASPH-F,36,65,360,18,76,180
243138,18709,K3J7,5500,75,ASP,7,678,,25,689,
243291,18710,K3JC,1927,200,GRS,5,1095,56.6,23,1085,236.6
243292,18710,K3JC,1915,140,GRS,13,1090,139.1,31,1091,319.1
243293,18710,K3JC,3495,75,ASP,18,1082,193.7,36,1098,13.7
242714,18711,K3K3,3000,40,ASPH-G,13,3312,138.2,31,3303,318.2
242713,18711,K3K3,4600,75,CONC-G,18,3326,,36,3315,
239980,18712,K3K6,2662,50,ASP,13,477,137,31,469,317
240949,18713,K3K7,2163,40,ASP,8,,90,26,,270
240950,18713,K3K7,5100,50,ASP,17,,180,35,,360
245155,18714,K3K8,4500,60,CON,17,2085,175,35,2074,355
243819,18715,K3L2,3340,45,ASP,3,2581,43.8,21,2600,223.8
243820,18715,K3L2,3300,105,GRE,12,2585,134,30,2578,314
243565,18716,K3LF,3901,75,ASP,9,682,90,27,690,270
243566,18716,K3LF,4003,75,ASP,18,685,179.8,36,680,359.8
243122,18717,K3M2,3403,79,ASP,3,,30,21,,210
242638,18719,K3M7,3991,75,ASP,1,970,6.3,19,952,186.3
